Dat2SB	ParticipantBarcode	Study	SampleTypeLetterCode	K2	K3	K4	K5	K6	K7	K8	K9	K10	K11	K12
TCGA-CU-A3KJ-01A	TCGA-CU-A3KJ	BLCA	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-CU-A3QU-01A	TCGA-CU-A3QU	BLCA	TP	1	3	4	5	6	6	7	7	7	6	6
TCGA-CU-A3YL-01A	TCGA-CU-A3YL	BLCA	TP	1	3	1	1	2	2	5	1	1	5	5
TCGA-CU-A5W6-01A	TCGA-CU-A5W6	BLCA	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-CU-A72E-01A	TCGA-CU-A72E	BLCA	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-DK-A1A3-01A	TCGA-DK-A1A3	BLCA	TP	1	3	1	1	2	2	2	2	2	4	4
TCGA-DK-A1A5-01A	TCGA-DK-A1A5	BLCA	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-DK-A1A6-01A	TCGA-DK-A1A6	BLCA	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-DK-A1A7-01A	TCGA-DK-A1A7	BLCA	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-DK-A1AA-01A	TCGA-DK-A1AA	BLCA	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-DK-A1AB-01A	TCGA-DK-A1AB	BLCA	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-DK-A1AC-01A	TCGA-DK-A1AC	BLCA	TP	1	3	3	4	5	5	6	5	2	4	7
TCGA-DK-A1AD-01A	TCGA-DK-A1AD	BLCA	TP	1	3	3	4	5	5	6	5	2	4	4
TCGA-DK-A1AE-01A	TCGA-DK-A1AE	BLCA	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-DK-A1AF-01A	TCGA-DK-A1AF	BLCA	TP	1	3	3	4	5	5	6	5	7	6	6
TCGA-DK-A1AG-01A	TCGA-DK-A1AG	BLCA	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-DK-A2HX-01A	TCGA-DK-A2HX	BLCA	TP	1	3	1	1	2	2	2	2	2	4	4
TCGA-DK-A2I1-01A	TCGA-DK-A2I1	BLCA	TP	1	3	3	4	5	5	6	5	2	4	4
TCGA-DK-A2I2-01A	TCGA-DK-A2I2	BLCA	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-DK-A2I4-01A	TCGA-DK-A2I4	BLCA	TP	1	3	3	4	5	5	6	5	8	7	7
TCGA-DK-A2I6-01A	TCGA-DK-A2I6	BLCA	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-DK-A3IK-01A	TCGA-DK-A3IK	BLCA	TP	1	3	3	4	5	5	6	5	7	6	6
TCGA-DK-A3IL-01A	TCGA-DK-A3IL	BLCA	TP	1	3	3	4	5	5	6	5	2	4	4
TCGA-DK-A3IM-01A	TCGA-DK-A3IM	BLCA	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-DK-A3IN-01A	TCGA-DK-A3IN	BLCA	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-DK-A3IQ-01A	TCGA-DK-A3IQ	BLCA	TP	1	1	1	1	2	2	2	2	2	4	4
TCGA-DK-A3IS-01A	TCGA-DK-A3IS	BLCA	TP	1	3	3	4	5	5	6	1	1	5	5
TCGA-DK-A3IT-01A	TCGA-DK-A3IT	BLCA	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-DK-A3IU-01A	TCGA-DK-A3IU	BLCA	TP	1	3	3	4	5	5	6	5	8	7	7
TCGA-DK-A3IV-01A	TCGA-DK-A3IV	BLCA	TP	1	3	3	4	5	5	6	5	8	7	7
TCGA-DK-A3WW-01A	TCGA-DK-A3WW	BLCA	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-DK-A3WX-01A	TCGA-DK-A3WX	BLCA	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-DK-A3WY-01A	TCGA-DK-A3WY	BLCA	TP	1	1	1	1	2	2	2	2	8	7	7
TCGA-DK-A3X1-01A	TCGA-DK-A3X1	BLCA	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-DK-A3X2-01A	TCGA-DK-A3X2	BLCA	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-DK-A6AV-01A	TCGA-DK-A6AV	BLCA	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-DK-A6AW-01A	TCGA-DK-A6AW	BLCA	TP	1	3	4	5	6	6	7	7	5	3	3
TCGA-DK-A6B0-01A	TCGA-DK-A6B0	BLCA	TP	1	3	4	5	1	1	5	1	1	5	5
TCGA-DK-A6B1-01A	TCGA-DK-A6B1	BLCA	TP	1	3	1	1	2	2	2	8	2	4	4
TCGA-DK-A6B2-01A	TCGA-DK-A6B2	BLCA	TP	1	1	1	1	2	2	2	2	2	4	4
TCGA-DK-A6B5-01A	TCGA-DK-A6B5	BLCA	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-DK-A6B6-01A	TCGA-DK-A6B6	BLCA	TP	1	3	3	4	5	5	6	5	8	7	7
