AliquotBarcode	SampleBarcode	ClusterModel1	ClusterModel2	LIexpression_score	CSF1_response	TGFB_score_21050467	Module3_IFN_score	CHANG_CORE_SERUM_RESPONSE_UP
TCGA.85.8481.01A.11R.2326.07	TCGA-85-8481-01A	2	2	0.487461803956416	0.516519274523077	2.30420517138855	1.34038085208394	0.107145667521022
TCGA.85.8580.01A.31R.2403.07	TCGA-85-8580-01A	1	1	0.890650292452744	0.0722485345481969	0.160186473317528	-0.461128062143391	0.641117518773326
TCGA.85.8582.01A.21R.2403.07	TCGA-85-8582-01A	2	2	0.874221559474964	0.543724761777461	2.26964717587588	1.11786616308218	0.398722402086425
TCGA.85.8584.01A.11R.2403.07	TCGA-85-8584-01A	2	2	1.65694420333758	0.669614304214017	0.596836910736372	0.587050646305933	0.525189419488286
TCGA.85.8664.01A.11R.2403.07	TCGA-85-8664-01A	1	1	-0.0625204560543258	-0.98927877945302	0.620417660615602	-1.66996281711183	1.09253451144386
TCGA.85.8666.01A.11R.2403.07	TCGA-85-8666-01A	2	2	0.29237059984529	0.705674407603082	1.5099811215769	1.09085124791596	0.990658302981249
TCGA.85.A4CL.01A.41R.A26W.07	TCGA-85-A4CL-01A	1	1	1.29733749260175	0.768683342706394	0.281139457611854	-0.613183441793256	0.721915891002293
TCGA.85.A4CN.01A.11R.A24H.07	TCGA-85-A4CN-01A	1	1	0.578960719568769	0.118703187312757	1.40569728805927	-0.622886758261122	0.707864000179864
TCGA.85.A4JB.01A.51R.A262.07	TCGA-85-A4JB-01A	2	2	0.155616609595074	-0.535511784493119	1.25709790735481	1.15193803567958	0.888782094518638
TCGA.85.A4JC.01A.11R.A24Z.07	TCGA-85-A4JC-01A	1	1	0.595237334648606	0.498040075633308	1.33678457936049	0.301684930182764	0.818522640406493
TCGA.85.A4PA.01A.11R.A24Z.07	TCGA-85-A4PA-01A	2	2	2.84665828314508	2.06979860342428	-1.10910837362999	-0.319768383600151	-0.201995930572418
TCGA.85.A4QQ.01A.41R.A262.07	TCGA-85-A4QQ-01A	1	1	-0.138503346076554	-0.641895505879362	0.278090222713678	-0.582419517991724	0.68151670488781
TCGA.85.A4QR.01A.11R.A24Z.07	TCGA-85-A4QR-01A	1	1	-1.02093927204041	-2.11458499517796	-0.672661218537689	-0.386147889437148	0.709620486532668
TCGA.85.A50M.01A.21R.A262.07	TCGA-85-A50M-01A	1	1	0.255482009594258	-0.0138593991673273	1.75188709016555	-1.17244731821393	0.205508903278025
TCGA.85.A50Z.01A.21R.A262.07	TCGA-85-A50Z-01A	1	1	0.274116452092202	0.132562586480084	0.304313642837994	-0.130002387677441	0.858921826520977
TCGA.85.A510.01A.11R.A26W.07	TCGA-85-A510-01A	2	2	1.08840355977786	0.645745338981398	-0.819431058303242	0.728630854768897	1.30858233283871
TCGA.85.A511.01A.21R.A262.07	TCGA-85-A511-01A	2	2	1.03523835444699	0.684500325541887	1.4892463242693	1.07817077753182	0.639361032420522
TCGA.85.A512.01A.11R.A26W.07	TCGA-85-A512-01A	1	1	-0.472630308907032	-0.209302592980656	0.361435976597163	-0.169697773227804	0.904590471693871
TCGA.85.A513.01A.12R.A26W.07	TCGA-85-A513-01A	2	2	1.74631346837874	1.56470050043724	0.551504951916818	0.796002745244653	-0.00878243176401816
TCGA.85.A53L.01A.21R.A26W.07	TCGA-85-A53L-01A	1	1	0.424789230004148	-0.226113530859544	1.16684055436879	-0.97882204869605	1.2102190970817
TCGA.85.A5B5.01A.21R.A26W.07	TCGA-85-A5B5-01A	1	1	0.0805464269605	-0.479689204513606	0.149209227684093	0.0130112652637303	0.365349161383156
TCGA.86.6562.01A.11R.1755.07	TCGA-86-6562-01A	6	6	0.393376884079043	0.767143409465579	1.03633330072685	0.389566103192874	-0.44966050631773
TCGA.86.6851.01A.11R.1949.07	TCGA-86-6851-01A	3	3	1.85302417378533	1.75462560013765	0.400669465620364	0.615388740990498	-0.656925895948559
TCGA.86.7713.01A.11R.2066.07	TCGA-86-7713-01A	2	2	0.0108764297028815	-0.303238520670319	-0.527720919711043	0.454732694471388	-0.21253484868924
TCGA.86.7714.01A.12R.2170.07	TCGA-86-7714-01A	3	3	-0.209390286517712	0.841445188334862	0.266706412427153	0.717494093822822	-1.21373206978731
TCGA.86.8054.01A.11R.2241.07	TCGA-86-8054-01A	1	1	-0.17569617212347	-0.184920316667765	-0.0666766031067882	-1.41514049487046	0.635848059714915
TCGA.86.8055.01A.11R.2241.07	TCGA-86-8055-01A	1	1	0.684530540740794	1.07885156296038	1.81571774070071	0.741090795233316	-0.184431067044381
TCGA.86.8056.01A.11R.2241.07	TCGA-86-8056-01A	3	3	0.689474372423921	1.02764878270331	-0.280529610632219	0.16164843115787	-1.04510937991816
TCGA.86.8073.01A.11R.2241.07	TCGA-86-8073-01A	3	3	0.30697391804776	0.960148375647619	0.258371837038804	0.108721250424051	-0.296846193623814
TCGA.86.8074.01A.11R.2241.07	TCGA-86-8074-01A	2	2	0.465632885601682	0.831820605579774	1.14508934542847	1.13363405234247	0.284550789154189
TCGA.86.8075.01A.11R.2241.07	TCGA-86-8075-01A	1	1	0.458407285449418	1.11221678317802	1.72769649330669	1.29517221854048	-0.0772853995233599
TCGA.86.8076.01A.31R.2241.07	TCGA-86-8076-01A	3	3	1.85637076754006	1.40865393203474	0.258778401691894	0.17620340585967	-0.476007801609785
TCGA.86.8278.01A.11R.2287.07	TCGA-86-8278-01A	6	1	0.725298137389356	0.734291500328211	0.954003958476088	0.878480935221519	-0.56558860560277
TCGA.86.8279.01A.11R.2287.07	TCGA-86-8279-01A	1	1	-0.231219204872446	0.00898294390474917	0.852159512877	-0.654312271821827	-0.0298602679976618
TCGA.86.8280.01A.11R.2287.07	TCGA-86-8280-01A	3	3	1.39880013052933	1.37362045080622	0.49682200607619	0.301354135303177	-0.37237510679437
TCGA.86.8281.01A.11R.2287.07	TCGA-86-8281-01A	3	3	0.719669775165487	0.146293657877344	-0.0380137950639311	-0.767554385600225	-0.730698322766311
TCGA.86.8358.01A.11R.2326.07	TCGA-86-8358-01A	1	1	0.508378014923496	0.117804892922282	-0.340497896963019	-0.509203584643276	0.953772089572373
TCGA.86.8359.01A.11R.2326.07	TCGA-86-8359-01A	3	3	1.27109715520668	0.518444191074095	0.846061043080648	0.0458702233026424	-0.639361032420522
TCGA.86.8585.01A.11R.2403.07	TCGA-86-8585-01A	2	2	1.47683661217378	1.20576772755747	0.152461744908814	-0.439295600090691	0.196726471514007
TCGA.86.8668.01A.11R.2403.07	TCGA-86-8668-01A	3	3	1.08300337440091	1.06730206365427	1.00523110476545	-0.195058713996092	-1.09429099779666
TCGA.86.8669.01A.11R.2403.07	TCGA-86-8669-01A	3	3	0.950888980037933	0.81475301216075	-0.437057002071935	-0.81199116442466	-0.505868069607446
TCGA.86.8671.01A.11R.2403.07	TCGA-86-8671-01A	3	3	2.24761800104791	2.18247038554385	0.683638464171124	1.20243938729643	-0.978362898511624
TCGA.86.8672.01A.21R.2403.07	TCGA-86-8672-01A	2	2	1.13251775018116	0.968746336242165	0.468565762686423	0.318224674162082	0.48830320607941
